gr_liv_area,overall_qual,year_built,garage_cars,total_bsmt_sf,first_flr_sf,second_flr_sf,total_sf,full_bath,totrms_abvgrd,Actual,Predicted
1666,8,1925,1.0,588.0,833,833,2254.0,1,7,161000,191996.8632689647
1030,6,1972,1.0,494.0,494,536,1524.0,1,6,116000,125563.88993152545
1724,7,2003,2.0,796.0,806,918,2520.0,2,8,196500,209885.26257416734
990,4,1994,0.0,990.0,990,0,1980.0,1,5,123600,95870.6003840348
919,6,1926,1.0,894.0,919,0,1813.0,1,5,126000,118667.5531864618
1326,6,2006,2.0,1326.0,1326,0,2652.0,2,6,174190,189434.63351152174
1020,8,1988,2.0,1004.0,1020,0,2024.0,1,4,200000,208548.2282598425
1456,6,1976,2.0,855.0,855,601,2311.0,2,7,148500,167919.11568466388
704,4,1946,1.0,560.0,704,0,1264.0,1,4,88750,65053.177537386655
2520,8,2007,3.0,1508.0,1508,1012,4028.0,2,10,409900,310377.4144388968
2263,7,1977,2.0,795.0,1468,795,3058.0,2,9,235000,238861.49544361478
1341,8,1999,2.0,1341.0,1341,0,2682.0,1,5,246900,239711.78344941232
1092,4,1972,1.0,546.0,546,546,1638.0,1,5,85500,92577.81739510957
1728,5,1965,2.0,1728.0,1728,0,3456.0,2,10,145000,178703.8646703884
1699,3,1900,2.0,978.0,1014,685,2677.0,2,7,95000,97196.24919935351
1040,6,1978,2.0,960.0,1040,0,2000.0,1,6,160500,157611.61560181272
1374,6,1964,1.0,1130.0,1374,0,2504.0,1,7,147000,164446.05567865854
1663,7,2003,2.0,835.0,835,828,2498.0,2,8,192500,207313.27831854532
1040,5,1975,2.0,1040.0,1040,0,2080.0,1,6,124000,137265.06065224286
1054,6,1963,2.0,936.0,1054,0,1990.0,1,6,137500,152740.49939113623
1226,7,2009,3.0,1226.0,1226,0,2452.0,2,6,198900,214962.13816027762
1601,5,1958,1.0,533.0,1021,580,2134.0,1,6,140000,142177.9879556913
1772,6,1998,2.0,928.0,928,844,2700.0,2,7,200000,197521.14107419283
1776,7,2002,2.0,936.0,936,840,2712.0,2,7,192500,220286.35582763294
1718,7,1998,2.0,832.0,885,833,2550.0,2,7,185000,212611.38085366506
2340,8,1996,3.0,1236.0,1236,1104,3576.0,2,9,306000,289706.48855026346
